Program Kodu,Üniversite İsmi,Program İsmi,Başarı Sırası,Başarı Puanı
203110477,İSTANBUL MEDİPOL ÜNİVERSİTESİ,"ULUSLARARASI TIP FAKÜLTESİ
Tıp (İngilizce) (Burslu)
(6 Yıllık)",38,551.13218
203910699,KOÇ ÜNİVERSİTESİ (İSTANBUL),"TIP FAKÜLTESİ
Tıp (İngilizce) (Burslu)
(6 Yıllık)",43,550.89027
203910187,KOÇ ÜNİVERSİTESİ (İSTANBUL),"İNSANİ BİLİMLER VE EDEBİYAT FAKÜLTESİ
Tarih (İngilizce) (Burslu)
(4 Yıllık)",64,494.56383
203910275,KOÇ ÜNİVERSİTESİ (İSTANBUL),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
Ekonomi (İngilizce) (Burslu)
(4 Yıllık)",69,527.39628
203910363,KOÇ ÜNİVERSİTESİ (İSTANBUL),"MÜHENDİSLİK FAKÜLTESİ
Bilgisayar Mühendisliği (İngilizce) (Burslu)
(4 Yıllık)",113,547.69436
203910724,KOÇ ÜNİVERSİTESİ (İSTANBUL),"İNSANİ BİLİMLER VE EDEBİYAT FAKÜLTESİ
Medya ve Görsel Sanatlar (İngilizce) (Burslu)
(4 Yıllık)",126,482.53512
203910309,KOÇ ÜNİVERSİTESİ (İSTANBUL),"İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ
İşletme (İngilizce) (Burslu)
(4 Yıllık)",165,517.80171
203910018,KOÇ ÜNİVERSİTESİ (İSTANBUL),"İNSANİ BİLİMLER VE EDEBİYAT FAKÜLTESİ
Arkeoloji ve Sanat Tarihi (İngilizce) (Burslu)
(4 Yıllık)",182,476.40601
203910830,KOÇ ÜNİVERSİTESİ (İSTANBUL),"İNSANİ BİLİMLER VE EDEBİYAT FAKÜLTESİ
Karşılaştırmalı Edebiyat (İngilizce) (Burslu)
(4 Yıllık)",209,526.13015
200110071,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),"TIP FAKÜLTESİ
Tıp (İngilizce) (Burslu)
(6 Yıllık)",210,545.26965
203910796,KOÇ ÜNİVERSİTESİ (İSTANBUL),"HUKUK FAKÜLTESİ
Hukuk (Burslu)
(4 Yıllık)",253,510.7839
203910399,KOÇ ÜNİVERSİTESİ (İSTANBUL),"MÜHENDİSLİK FAKÜLTESİ
Elektrik-Elektronik Mühendisliği (İngilizce) (Burslu)
(4 Yıllık)",281,544.0313
104010113,GALATASARAY ÜNİVERSİTESİ (İSTANBUL),"İLETİŞİM FAKÜLTESİ
İletişim (Fransızca)
(4 Yıllık)",283,468.54193
205410026,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),"FEN-EDEBİYAT FAKÜLTESİ
Tarih (Burslu)
(4 Yıllık)",287,468.29711
205110144,SABANCI ÜNİVERSİTESİ (İSTANBUL),"YÖNETİM BİLİMLERİ FAKÜLTESİ
Yönetim Bilimleri Programları (İngilizce) (Burslu)
(4 Yıllık)",290,508.28682
202110408,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),"MÜHENDİSLİK FAKÜLTESİ
Bilgisayar Mühendisliği (İngilizce) (Burslu)
(4 Yıllık)",299,543.70192
203190981,İSTANBUL MEDİPOL ÜNİVERSİTESİ,"MÜHENDİSLİK VE DOĞA BİLİMLERİ FAKÜLTESİ
Yapay Zeka Mühendisliği (İngilizce) (Burslu)
(4 Yıllık)",337,543.16629
102270217,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),"İNSAN VE TOPLUM BİLİMLERİ FAKÜLTESİ
Tarih (İngilizce)
(4 Yıllık)",340,465.24011
204890153,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),"UYGULAMALI BİLİMLER FAKÜLTESİ
Gastronomi ve Mutfak Sanatları (İngilizce) (Burslu)
(4 Yıllık)",351,464.63338
202110426,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),"MÜHENDİSLİK FAKÜLTESİ
Elektrik-Elektronik Mühendisliği (İngilizce) (Burslu)
(4 Yıllık)",373,542.68584
202111106,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),"HUKUK FAKÜLTESİ
Hukuk (Burslu)
(4 Yıllık)",376,504.01538
202110205,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),"İKTİSADİ, İDARİ VE SOSYAL BİLİMLER FAKÜLTESİ
İktisat (İngilizce) (Burslu)
(4 Yıllık)",387,503.60245
202190187,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),"GÜZEL SANATLAR TASARIM VE MİMARLIK FAKÜLTESİ
İletişim ve Tasarımı (İngilizce) (Burslu)
(4 Yıllık)",389,463.00403
